TICKETS,FECHA,ZONAS,SUCURSALES,TECNICO REFERENTE,TRABAJO,PRIORIDAD,RUBRO,ESTADO,,CHECKLIST,TICKET RELACIONADO,OBSERVACIONES,RESPONSABLE,PRESUPUESTO,N PRESUP,IMAGEN,DIRECCION
1120-52823,9/11/2020,NORTE,CDD San Miguel,Encalada Roberto Nahuel,Portón de entrada,Emerg. Alta,CIVIL,REALIZADO,,,,,pedidos@bauman.com.ar,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ZPWub2nJ8CUWyEcbIua0lw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=311.23642&pitch=0&thumbfov=100,"Belgrano 1374, B1663NMA San Miguel, Provincia de Buenos Aires"
1120-52824,9/11/2020,EDIFICIOS,Planta Retiro,Jara Benitez Rodrigo,2 sillas de Suc. San Cristobal,Normal,CIVIL,REALIZADO,,,,,pedidos@bauman.com.ar,,,SUC_Images/8.IMAGEN.024956.png,"Av. Antártida Argentina 1100, C1104 CABA"
1120-52825,9/11/2020,EDIFICIOS,Planta Retiro,Jara Benitez Rodrigo,Zorra de Suc. Villa Lugano,Normal,CIVIL,REALIZADO,,,,,pedidos@bauman.com.ar,,,SUC_Images/8.IMAGEN.024956.png,"Av. Antártida Argentina 1100, C1104 CABA"
1120-52826,9/11/2020,CABA,Centro Distrib. Espec. Barracas,Aquino Diego Daniel,Agujero en piso/Garcia Ferrer,Emerg. Alta,CIVIL,REALIZADO,,,,presup.,pedidos@bauman.com.ar,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Osr_UqBMmkWTy0-DvUNgYA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=242.5322&pitch=0&thumbfov=100,"José Aarón Salmún Feijóo 555, C1274AGE CABA"
1120-52827,9/11/2020,EDIFICIOS,Edificio French,Aquino Diego Daniel,Puerta/Santiago Aguirre,Emerg prog,CIVIL,REALIZADO,,,,,pedidos@bauman.com.ar,,,https://lh5.googleusercontent.com/p/AF1QipM6IKo4-50uwWYTCYaDWGBcmyX2K9MSTehO1TSl=w408-h725-k-no,"Brandsen 2070, C1295 CABA"
1120-52828,9/11/2020,OESTE,Ramos Mejia,Encalada Roberto Nahuel,Filtración del techo,Emerg prog,CIVIL,REALIZADO,,,,,pedidos@bauman.com.ar,,,SUC_Images/163.IMAGEN.005842.png,"Av. Rivadavia 14180, Ramos Mejía, Provincia de Buenos Aires"
1120-52829,10/11/2020,CABA,Catalinas,Aquino Diego Daniel,Puerta de ingreso,Emerg. Alta,CIVIL,REALIZADO,,,,,pedidos@bauman.com.ar,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=NU5oUn3_iMgUCsVIRY4wag&cb_client=search.gws-prod.gps&w=408&h=240&yaw=283.1326&pitch=0&thumbfov=100,"Av. Leandro N. Alem 616, C1001 AAO, Buenos Aires"
1120-52830,10/11/2020,NORTE,CDD Pilar,Cuello Francisco Waldemar,Canilla,Normal,CIVIL,REALIZADO,,,,,pedidos@bauman.com.ar,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=qrdd_qWbEdjN8pCxJcD_DQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=82.97855&pitch=0&thumbfov=100,"Av. Tomás Márquez 1294, Pilar Centro, Provincia de Buenos Aires"
1120-52831,10/11/2020,CABA,Coghlan,Aquino Diego Daniel,Puerta back office,Normal,CIVIL,REALIZADO,,,,,pedidos@bauman.com.ar,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=6g2OQYyohI9qPCUINGUc8g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=321.93668&pitch=0&thumbfov=100,"Av. Monroe 3381, C1430BKN CABA"
1120-52832,10/11/2020,NORTE,Caseros,Cuello Francisco Waldemar,Ventiladores,Normal,CIVIL,REALIZADO,,,,,pedidos@bauman.com.ar,,,SUC_Images/111.IMAGEN.000108.png,"Av Gral, Av. Justo José de Urquiza 4826, B1678 Caseros, Provincia de Buenos Aires"
1120-52833,10/11/2020,EDIFICIOS,Planta Tortuguitas,Rodriguez Basualdo Jose Luis,Demarcación y pintura de dársena,Normal,VARIOS,REALIZADO,,,,presup. aprob.,pedidos@bauman.com.ar,,,https://lh5.googleusercontent.com/p/AF1QipPqv3sg6IYJHzQwMqZ16zY_RyrfO09qdvbK5X-f=w408-h306-k-no,"B1667JHH, Estados Unidos 4602-5100, B1667JHH Area de Promoción El Triángulo, Provincia de Buenos Aires"
1120-52834,10/11/2020,EDIFICIOS,Central Operativa Mte. Grande,Almiron Sergio Octavio,Toma/Rodolfo Gomez,Normal,ELECTRICIDAD,REALIZADO,,,,,pedidos@bauman.com.ar,,,https://silvestrijuanpablo.files.wordpress.com/2020/03/correo-monte-grande-4.jpeg?w=1024,"Av. V. Fair 1101, B1842 Monte Grande, Provincia de Buenos Aires"
1120-52835,10/11/2020,CABA,Tribunales,Aquino Diego Daniel,Tecla del luz,Normal,ELECTRICIDAD,REALIZADO,,,,,pedidos@bauman.com.ar,,,https://lh5.googleusercontent.com/proxy/v4e1LJxknRKrdyzgfIx2aIRPPrlesu6yQc3DR6JhMkt29lf0O98KC81o4iH0T2OLYb65SD8dNCHksL1oOiRpnaIB4-KEEFLkncZZEfYdk5szeyhuln6wtv9Qe8wznYtw6bQ50CQ_qqZlz0hPvqwH4ZkHXUH-cVRP8g6-R_pSBOrQ=w427-h240-k-no,"Paraná 777, C1017 CABA"
1120-52836,10/11/2020,OESTE,I. Casanova,Encalada Roberto Nahuel,Cortina lateral de la vidriera,Normal,CIVIL,REALIZADO,,,,presup.,pedidos@bauman.com.ar,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=jne_yVrPqcIXjQ_QKo-HBQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=306.0837&pitch=0&thumbfov=100,"Av. Brig. Gral. Juan Manuel de Rosas 6801, B1765AAD La Matanza, Provincia de Buenos Aires"
1120-52837,10/11/2020,CABA,Catalinas,Aquino Diego Daniel,Cambiar bisagras de la puerta,Emerg prog,ELECTRICIDAD,REALIZADO,,,,presup.,pedidos@bauman.com.ar,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=NU5oUn3_iMgUCsVIRY4wag&cb_client=search.gws-prod.gps&w=408&h=240&yaw=283.1326&pitch=0&thumbfov=100,"Av. Leandro N. Alem 616, C1001 AAO, Buenos Aires"
1120-52838,10/11/2020,CABA,Almagro,Aquino Diego Daniel,Tubo,Normal,ELECTRICIDAD,REALIZADO,,,,,pedidos@bauman.com.ar,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=k6DuYMZXxGop79Rz2N5njQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=256.99036&pitch=0&thumbfov=100,"Av. Medrano 66, C1204 CABA"
1120-52839,10/11/2020,CABA,Almagro,Aquino Diego Daniel,Reja,Normal,CIVIL,REALIZADO,,,,presup.,pedidos@bauman.com.ar,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=k6DuYMZXxGop79Rz2N5njQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=256.99036&pitch=0&thumbfov=100,"Av. Medrano 66, C1204 CABA"
1120-52840,10/11/2020,EDIFICIOS,Planta Retiro,Jara Benitez Rodrigo,1 sila y 1 tandem de Suc. Hurlingham,Normal,VARIOS,REALIZADO,,,,,pedidos@bauman.com.ar,,,SUC_Images/8.IMAGEN.024956.png,"Av. Antártida Argentina 1100, C1104 CABA"
1120-52841,10/11/2020,NORTE,Hurlingham,Cuello Francisco Waldemar,Deposito,Normal,SANITARIO,REALIZADO,,,,,pedidos@bauman.com.ar,,,https://lh5.googleusercontent.com/p/AF1QipOoiGb3XGhJykS10LUq3RqQZK22UMrC2FFAUEH0=w408-h306-k-no,"Pte Gral, Tte. Gral. Julio Argentino Roca 1008, B1686 Hurlingham, Provincia de Buenos Aires"
1120-52842,10/11/2020,CABA,Almagro,Aquino Diego Daniel,Piso,Normal,CIVIL,REALIZADO,,,,presup.,pedidos@bauman.com.ar,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=k6DuYMZXxGop79Rz2N5njQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=256.99036&pitch=0&thumbfov=100,"Av. Medrano 66, C1204 CABA"
1120-52843,11/11/2020,EDIFICIOS,Central Operativa Mte. Grande,Almiron Sergio Octavio,Otros tomas/Rodolfo Gomez,Normal,ELECTRICIDAD,REALIZADO,,,,presup. aprob.,pedidos@bauman.com.ar,,,https://silvestrijuanpablo.files.wordpress.com/2020/03/correo-monte-grande-4.jpeg?w=1024,"Av. V. Fair 1101, B1842 Monte Grande, Provincia de Buenos Aires"
1120-52844,11/11/2020,SUR,CDD Berazategui,Sarmiento Ariel,Tomas y luz de entrada,Normal,ELECTRICIDAD,REALIZADO,,,,,pedidos@bauman.com.ar,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=LeMpiJHHDELBHFftisdwWQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=166.52043&pitch=0&thumbfov=100,"Av. Rigolleau 4457, B1884 Berazategui, Provincia de Buenos Aires"
1120-52845,11/11/2020,NORTE,Soleil,Cuello Francisco Waldemar,Sifòn de la pileta,Normal,SANITARIO,REALIZADO,,,,,pedidos@bauman.com.ar,,,https://lh5.googleusercontent.com/p/AF1QipMYm06_Bd4dhoneuOCBi1HDdnHRqxlbLFqCkW7c=w408-h544-k-no,"Dr, Bernardo de Irigoyen 2647, B1609 Boulogne, Provincia de Buenos Aires"
1120-52846,11/11/2020,EDIFICIOS,Central Operativa Mte. Grande,Almiron Sergio Octavio,Ventanas/Roberto Luzko,Normal,ELECTRICIDAD,REALIZADO,,,,,pedidos@bauman.com.ar,,,https://silvestrijuanpablo.files.wordpress.com/2020/03/correo-monte-grande-4.jpeg?w=1024,"Av. V. Fair 1101, B1842 Monte Grande, Provincia de Buenos Aires"
1120-52847,11/11/2020,EDIFICIOS,Edificio French,Aquino Diego Daniel,Pileta/Daniel Doria,Normal,SANITARIO,REALIZADO,,,,,pedidos@bauman.com.ar,,,https://lh5.googleusercontent.com/p/AF1QipM6IKo4-50uwWYTCYaDWGBcmyX2K9MSTehO1TSl=w408-h725-k-no,"Brandsen 2070, C1295 CABA"
1120-52848,11/11/2020,CABA,Villa Soldati,Aquino Diego Daniel,Sin luz,Emerg. Alta,ELECTRICIDAD,REALIZADO,,,,Edesur,pedidos@bauman.com.ar,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=9AhYtOooezBNI3cSQrnyXg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=229.0187&pitch=0&thumbfov=100,"José Martí 2995, C1437 BXE, Buenos Aires"
1120-52849,11/11/2020,SUR,EX CDP Quilmes/Av. La Plata 2327,Sarmiento Ariel,Luminarias led,Normal,ELECTRICIDAD,REALIZADO,,,,Vecchio,pedidos@bauman.com.ar,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=821pdghhQfenhSH_xTl9uw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=258.53772&pitch=0&thumbfov=100,"Av. La Plata 2327, Quilmes Oeste, Provincia de Buenos Aires"
1120-52850,11/11/2020,EDIFICIOS,Edificio French,Aquino Diego Daniel,"Luminarias, cartel y luz de emergencia/Ramponi",Normal,VARIOS,REALIZADO,,,,presup. aprob.,pedidos@bauman.com.ar,,,https://lh5.googleusercontent.com/p/AF1QipM6IKo4-50uwWYTCYaDWGBcmyX2K9MSTehO1TSl=w408-h725-k-no,"Brandsen 2070, C1295 CABA"
1120-52851,11/11/2020,EDIFICIOS,Planta Retiro,Jara Benitez Rodrigo,Piso,Emerg prog,CIVIL,REALIZADO,,,,presup. aprob.,pedidos@bauman.com.ar,,,SUC_Images/8.IMAGEN.024956.png,"Av. Antártida Argentina 1100, C1104 CABA"
1120-52852,11/11/2020,CABA,CDD 13,Aquino Diego Daniel,Iluminaciòn y electricidad,Normal,VARIOS,REALIZADO,,,,presup. aprob.,pedidos@bauman.com.ar,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=7iDLN9ukuGxTUEDuSsQOGg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=196.8028&pitch=0&thumbfov=100,"Av. Corrientes 3702, Buenos Aires "
1120-52853,12/11/2020,EDIFICIOS,Sede Central Operativa Mte. Grande 2,Almiron Sergio Octavio,Recolocar porcelanatos/Zaldivar,Normal,CIVIL,REALIZADO,,,,,pedidos@bauman.com.ar,,,https://lh5.googleusercontent.com/p/AF1QipPRDsDRKY7-qobCtJjGtH2p0PHsFOqDpS8tbGF7=w426-h240-k-no,"Av. V. Fair 1398-1300, El Jagüel, Provincia de Buenos Aires"
1120-52854,12/11/2020,EDIFICIOS,Central Operativa Mte. Grande,Almiron Sergio Octavio,Luminarias/Marcelo Ibañez,Normal,ELECTRICIDAD,REALIZADO,,,,a presup.,pedidos@bauman.com.ar,,,https://silvestrijuanpablo.files.wordpress.com/2020/03/correo-monte-grande-4.jpeg?w=1024,"Av. V. Fair 1101, B1842 Monte Grande, Provincia de Buenos Aires"
1120-52855,12/11/2020,NORTE,CDD San Miguel,Encalada Roberto Nahuel,"Luminarias, canilla y llave de luz",Normal,VARIOS,REALIZADO,,,,,pedidos@bauman.com.ar,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ZPWub2nJ8CUWyEcbIua0lw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=311.23642&pitch=0&thumbfov=100,"Belgrano 1374, B1663NMA San Miguel, Provincia de Buenos Aires"
1120-52856,12/11/2020,OESTE,CDP Morón/Entre Rios 1036/56,Encalada Roberto Nahuel,Trabajos varios en baños,Emerg. Alta,SANITARIO,REALIZADO,,,,,pedidos@bauman.com.ar,,,https://lh5.googleusercontent.com/p/AF1QipNB_6U9JXhyhpq_ze47uuj1AVfYTZnVQjEvEd7a=w480-h240-k-no,"Entre Ríos 1098, B1708DRO Morón, Provincia de Buenos Aires"
1120-52857,12/11/2020,OESTE,Ciudadela,Encalada Roberto Nahuel,Tubos,Normal,ELECTRICIDAD,REALIZADO,,,,,pedidos@bauman.com.ar,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=cef0NUo5rnNtLV9_VbRMzg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=176.08916&pitch=0&thumbfov=100,"Av. Rivadavia 12580, Ciudadela, Provincia de Buenos Aires"
1120-52858,12/11/2020,OESTE,CDD El Palomar,Encalada Roberto Nahuel,Trabajos vatios,Normal,CIVIL,REALIZADO,,,,,pedidos@bauman.com.ar,,,SUC_Images/170.IMAGEN.115512.png,"Marconi y, Rosetti, El Palomar, Provincia de Buenos Aires"
1120-52859,12/11/2020,OESTE,CDD Merlo,Encalada Roberto Nahuel,Pileta,Normal,CIVIL,REALIZADO,,,,presup. aprob.,pedidos@bauman.com.ar,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=whu_ZLx0juXJQzSpoHukcg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=288.47855&pitch=0&thumbfov=100,"Av. del Libertador no 556, Merlo, Provincia de Buenos Aires"
1120-52860,12/11/2020,SUR,EX CDP Quilmes/Av. La Plata 2327,Sarmiento Ariel,"Corto circuito, puertas de baños y luminarias",Normal,VARIOS,REALIZADO,,,,,pedidos@bauman.com.ar,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=821pdghhQfenhSH_xTl9uw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=258.53772&pitch=0&thumbfov=100,"Av. La Plata 2327, Quilmes Oeste, Provincia de Buenos Aires"
1120-52861,12/11/2020,NORTE,CDD Pilar,Cuello Francisco Waldemar,Puerta rejas,Normal,CIVIL,REALIZADO,,,,,pedidos@bauman.com.ar,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=qrdd_qWbEdjN8pCxJcD_DQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=82.97855&pitch=0&thumbfov=100,"Av. Tomás Márquez 1294, Pilar Centro, Provincia de Buenos Aires"
1120-52862,12/11/2020,OESTE,CDD Hurlingham,Encalada Roberto Nahuel,Trabajos varios,Normal,VARIOS,REALIZADO,,,,,pedidos@bauman.com.ar,,,SUC_Images/171.IMAGEN.115226.png,"Av. Gdor. Vergara 3443, Hurlingham, Provincia de Buenos Aires"
1120-52863,12/11/2020,EDIFICIOS,Planta Tortuguitas,Rodriguez Basualdo Jose Luis,Colocar toma/Juan Rojo,Normal,ELECTRICIDAD,REALIZADO,,,,presup. aprob.,pedidos@bauman.com.ar,,,https://lh5.googleusercontent.com/p/AF1QipPqv3sg6IYJHzQwMqZ16zY_RyrfO09qdvbK5X-f=w408-h306-k-no,"B1667JHH, Estados Unidos 4602-5100, B1667JHH Area de Promoción El Triángulo, Provincia de Buenos Aires"
1120-52864,12/11/2020,EDIFICIOS,Edificio French,Aquino Diego Daniel,Sillón del Gerente Alonso,Normal,CIVIL,REALIZADO,,,,,pedidos@bauman.com.ar,,,https://lh5.googleusercontent.com/p/AF1QipM6IKo4-50uwWYTCYaDWGBcmyX2K9MSTehO1TSl=w408-h725-k-no,"Brandsen 2070, C1295 CABA"
1120-52865,12/11/2020,SUR,Avellaneda,Sarmiento Ariel,Pérdida en baño,Normal,SANITARIO,REALIZADO,,,,,pedidos@bauman.com.ar,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=3T2e606HpSxq3XihZOis2A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=49.775326&pitch=0&thumbfov=100,"Av. Manuel Belgrano 390, B1870 Avellaneda, Provincia de Buenos Aires"
1120-52866,12/11/2020,CABA,CDD 12,Aquino Diego Daniel,Tubos de la Jefatura de Area,Normal,ELECTRICIDAD,REALIZADO,,,,,pedidos@bauman.com.ar,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Yn9timrFkP1MgByJnx5ODg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=295.00632&pitch=0&thumbfov=100,Av. Pueyrredón 1352 C1118*AAQ CABA
1120-52867,12/11/2020,CABA,CDD 5,Aquino Diego Daniel,Mochila sin agua,Emerg prog,CIVIL,REALIZADO,,,,,pedidos@bauman.com.ar,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=_XkwP-pyZ8Quh0eiRjIA3A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=329.48444&pitch=0&thumbfov=100,"Antonio Machado 649, C1405DIC CABA"
1120-52868,12/11/2020,EDIFICIOS,Planta Tortuguitas,Rodriguez Basualdo Jose Luis,Contratar camión atmosférico/Yesica Nieva,Emerg prog,VARIOS,REALIZADO,,,,presup. aprob.,pedidos@bauman.com.ar,,,https://lh5.googleusercontent.com/p/AF1QipPqv3sg6IYJHzQwMqZ16zY_RyrfO09qdvbK5X-f=w408-h306-k-no,"B1667JHH, Estados Unidos 4602-5100, B1667JHH Area de Promoción El Triángulo, Provincia de Buenos Aires"
1120-52869,12/11/2020,NORTE,CDD Villa Adelina,Cuello Francisco Waldemar,Sin luz en un sector,Emerg. Alta,ELECTRICIDAD,REALIZADO,,,,,pedidos@bauman.com.ar,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=zcaPcAhhUh2xm3apsVMHhg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=273.77728&pitch=0&thumbfov=100,"Paraná no 6001, Villa Adelina, Provincia de Buenos Aires"
1120-52870,12/11/2020,SUR,Glew,Sarmiento Ariel,Sin agua,Emerg. Alta,CIVIL,REALIZADO,,,,,pedidos@bauman.com.ar,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=-B3SykaoAuiEVkIwQg2t_w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=139.06609&pitch=0&thumbfov=100,"Sarmiento 50, B1856CJB Glew, Provincia de Buenos Aires"
1120-52871,12/11/2020,CABA,CDD 33,Aquino Diego Daniel,Ventiladores y tomas,Normal,ELECTRICIDAD,REALIZADO,,,,presup. aprob.,pedidos@bauman.com.ar,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Osr_UqBMmkWTy0-DvUNgYA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=242.5322&pitch=0&thumbfov=100,José Aarón Salmún Feijóo 555 C1274AGE CABA
1120-52872,12/11/2020,EDIFICIOS,Central Operativa Mte. Grande,Almiron Sergio Octavio,Luminarias/Marcelo Ibañez,Emerg prog,ELECTRICIDAD,REALIZADO,,,,presup. aprob.,pedidos@bauman.com.ar,,,https://silvestrijuanpablo.files.wordpress.com/2020/03/correo-monte-grande-4.jpeg?w=1024,"Av. V. Fair 1101, B1842 Monte Grande, Provincia de Buenos Aires"
1120-52873,13/11/2020,EDIFICIOS,Central Operativa Mte. Grande,Almiron Sergio Octavio,Tubos/Pablo Lòpez,Normal,ELECTRICIDAD,REALIZADO,,,,,pedidos@bauman.com.ar,,,https://silvestrijuanpablo.files.wordpress.com/2020/03/correo-monte-grande-4.jpeg?w=1024,"Av. V. Fair 1101, B1842 Monte Grande, Provincia de Buenos Aires"
1120-52874,13/11/2020,EDIFICIOS,Edificio French,Aquino Diego Daniel,Banderas/Ramponi,Normal,CIVIL,REALIZADO,,,,,pedidos@bauman.com.ar,,,https://lh5.googleusercontent.com/p/AF1QipM6IKo4-50uwWYTCYaDWGBcmyX2K9MSTehO1TSl=w408-h725-k-no,"Brandsen 2070, C1295 CABA"
1120-52875,13/11/2020,EDIFICIOS,Central Operativa Mte. Grande,Almiron Sergio Octavio,Pintar cordones y sendas peatonales/Astudillo,Normal,VARIOS,REALIZADO,,,,,pedidos@bauman.com.ar,,,https://silvestrijuanpablo.files.wordpress.com/2020/03/correo-monte-grande-4.jpeg?w=1024,"Av. V. Fair 1101, B1842 Monte Grande, Provincia de Buenos Aires"
1120-52876,13/11/2020,EDIFICIOS,Planta Retiro,Jara Benitez Rodrigo,Baño,Normal,SANITARIO,REALIZADO,,,,,pedidos@bauman.com.ar,,,SUC_Images/8.IMAGEN.024956.png,"Av. Antártida Argentina 1100, C1104 CABA"
1120-52877,13/11/2020,CABA,CDD 40,Aquino Diego Daniel,Puerta,Normal,CIVIL,REALIZADO,,,,,pedidos@bauman.com.ar,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=q9XDa3VEG-5NabzpCcVPUA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=121.62951&pitch=0&thumbfov=100,Av. Juan Bautista Alberdi 5924 C1440AAX CABA
1120-52878,13/11/2020,EDIFICIOS,Edificio French,Aquino Diego Daniel,Bomba de agua/Ramponi,Normal,CIVIL,REALIZADO,,,,,pedidos@bauman.com.ar,,,https://lh5.googleusercontent.com/p/AF1QipM6IKo4-50uwWYTCYaDWGBcmyX2K9MSTehO1TSl=w408-h725-k-no,"Brandsen 2070, C1295 CABA"
1120-52879,13/11/2020,SUR,CDD Monte Grande,Sarmiento Ariel,Rejilla,Normal,CIVIL,REALIZADO,,,,,pedidos@bauman.com.ar,,,SUC_Images/244.IMAGEN.190116.png,"Vicente López 448, B1842AUJ Monte Grande, Provincia de Buenos Aires"
1120-52880,13/11/2020,EDIFICIOS,Edificio French,Aquino Diego Daniel,Cerrajeria/Gambacorta,Emerg. Alta,CIVIL,REALIZADO,,,,,pedidos@bauman.com.ar,,,https://lh5.googleusercontent.com/p/AF1QipM6IKo4-50uwWYTCYaDWGBcmyX2K9MSTehO1TSl=w408-h725-k-no,"Brandsen 2070, C1295 CABA"
1120-52881,13/11/2020,EDIFICIOS,Planta Tortuguitas,Rodriguez Basualdo Jose Luis,Tubos/Vanesa Caraccio,Normal,ELECTRICIDAD,REALIZADO,,,,,pedidos@bauman.com.ar,,,https://lh5.googleusercontent.com/p/AF1QipPqv3sg6IYJHzQwMqZ16zY_RyrfO09qdvbK5X-f=w408-h306-k-no,"B1667JHH, Estados Unidos 4602-5100, B1667JHH Area de Promoción El Triángulo, Provincia de Buenos Aires"
1120-52882,13/11/2020,EDIFICIOS,Planta Retiro,Jara Benitez Rodrigo,Timbre/Rita Prieto,Normal,CIVIL,REALIZADO,,,,,pedidos@bauman.com.ar,,,SUC_Images/8.IMAGEN.024956.png,"Av. Antártida Argentina 1100, C1104 CABA"
1120-52883,13/11/2020,CABA,Plaza Las Heras,Aquino Diego Daniel,Tubos,Normal,ELECTRICIDAD,REALIZADO,,,,,pedidos@bauman.com.ar,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=DIKu37dd2mIB12NHyplhFg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=324.9083&pitch=0&thumbfov=100,"Laprida 2128, C1126 CABA"
1120-52884,13/11/2020,OESTE,Ciudadela,Encalada Roberto Nahuel,Tubos,Normal,ELECTRICIDAD,REALIZADO,,,,,pedidos@bauman.com.ar,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=cef0NUo5rnNtLV9_VbRMzg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=176.08916&pitch=0&thumbfov=100,"Av. Rivadavia 12580, Ciudadela, Provincia de Buenos Aires"
1120-52885,13/11/2020,OESTE,CDD Tapiales,Encalada Roberto Nahuel,Luminarias,Normal,ELECTRICIDAD,REALIZADO,,,,,pedidos@bauman.com.ar,,,SUC_Images/171.IMAGEN.134646.jpg,"Humaita 1156, Tapiales, Provincia de Buenos Aires"
1120-52886,13/11/2020,EDIFICIOS,Edificio French,Aquino Diego Daniel,Sillón/Ramponi,Normal,CIVIL,REALIZADO,,,,,pedidos@bauman.com.ar,,,https://lh5.googleusercontent.com/p/AF1QipM6IKo4-50uwWYTCYaDWGBcmyX2K9MSTehO1TSl=w408-h725-k-no,"Brandsen 2070, C1295 CABA"
1120-52887,13/11/2020,EDIFICIOS,Edificio French,Aquino Diego Daniel,Piso de goma/Ramponi,Normal,CIVIL,REALIZADO,,,,,pedidos@bauman.com.ar,,,https://lh5.googleusercontent.com/p/AF1QipM6IKo4-50uwWYTCYaDWGBcmyX2K9MSTehO1TSl=w408-h725-k-no,"Brandsen 2070, C1295 CABA"
1120-52888,13/11/2020,EDIFICIOS,Edificio French,Aquino Diego Daniel,Cerrajeria/Vanina Ferrario,Normal,CIVIL,REALIZADO,,,,,pedidos@bauman.com.ar,,,https://lh5.googleusercontent.com/p/AF1QipM6IKo4-50uwWYTCYaDWGBcmyX2K9MSTehO1TSl=w408-h725-k-no,"Brandsen 2070, C1295 CABA"
1120-52889,16/11/2020,CABA,CDD 12,Aquino Diego Daniel,Flexible lavamanos,Normal,SANITARIO,REALIZADO,,,,,pedidos@bauman.com.ar,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Yn9timrFkP1MgByJnx5ODg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=295.00632&pitch=0&thumbfov=100,Av. Pueyrredón 1352 C1118*AAQ CABA
1120-52890,16/11/2020,SUR,CDD Lanús,Sarmiento Ariel,Portón de ingreso,Emerg prog,CIVIL,REALIZADO,,,,presup. aprob.,pedidos@bauman.com.ar,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=u2rvdN9oA1JQ0iEhtNeXOw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=287.91458&pitch=0&thumbfov=100,"Vélez Sársfield 1371, B1824 Lanús, Provincia de Buenos Aires"
1120-52891,16/11/2020,CABA,CDD 17,Aquino Diego Daniel,Sin agua,Emerg. Alta,CIVIL,REALIZADO,,,,,pedidos@bauman.com.ar,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=N9GcHjdJZZRlvlPklGoiVQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=62.31091&pitch=0&thumbfov=100,"Helguera 2901, C1417CQO CABA"
